objectPathId,objectName,scriptPathId,matchedClassName,matchedNamespace,fieldsFromDump,confidence,evidence,notes
43,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
52,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
55,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
56,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
63,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
76,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
89,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
90,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
93,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
52,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
53,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
55,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
61,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
62,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
63,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
69,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
70,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
76,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
89,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
91,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
