source_symbol,kind,source_file,probable_role,new_system,new_class,confidence,evidence,note
PickResourceFromStorage,Class,dump.cs,Resource,,,HIGH,dump.cs,
TrainInBuilding,Class,dump.cs,Building,,,HIGH,dump.cs,
WorkInResourceProductionBuilding,Class,dump.cs,Resource,,,HIGH,dump.cs,
ItemObject,Class,dump.cs,Item,,,HIGH,dump.cs,
AgentInventory,Class,dump.cs,Inventory,,,HIGH,dump.cs,
WorkerManager,Class,dump.cs,Worker,,,HIGH,dump.cs,
WorkerStats,Class,dump.cs,Worker,,,HIGH,dump.cs,
AcademyBuilding,Class,dump.cs,Building,,,HIGH,dump.cs,
AcademyBuildingData,Class,dump.cs,Building,,,HIGH,dump.cs,
BonfireBuilding,Class,dump.cs,Building,,,HIGH,dump.cs,
ResourceQuantity,Class,dump.cs,Resource,,,HIGH,dump.cs,
BuildingInstance,Class,dump.cs,Building,,,HIGH,dump.cs,
BuildingLevels,Class,dump.cs,Building,,,HIGH,dump.cs,
StoredItemData,Class,dump.cs,Item,,,HIGH,dump.cs,
DockBuilding,Class,dump.cs,Building,,,HIGH,dump.cs,
HutBuilding,Class,dump.cs,Building,,,HIGH,dump.cs,
IBuilding,Interface,dump.cs,Building,,,HIGH,dump.cs,
ResourceProductionBuilding,Class,dump.cs,Resource,,,HIGH,dump.cs,
ResourceStorageBuilding,Class,dump.cs,Resource,,,HIGH,dump.cs,
RoadAndBridgeBuilding,Class,dump.cs,Building,,,HIGH,dump.cs,
TitanUpgradeBuilding,Class,dump.cs,Building,,,HIGH,dump.cs,
TrainingBuilding,Class,dump.cs,Building,,,HIGH,dump.cs,
DungeonResourceUI,Class,dump.cs,Resource,,,HIGH,dump.cs,
WorkerAttributes,Class,dump.cs,Worker,,,HIGH,dump.cs,
Minimap,Class,dump.cs,Map,,,HIGH,dump.cs,
DayNightController,Class,dump.cs,Day,,,HIGH,dump.cs,
timeColors,Struct,dump.cs,Time,,,HIGH,dump.cs,
MapChunk,Class,dump.cs,Map,,,HIGH,dump.cs,
MapLayout,Class,dump.cs,Map,,,HIGH,dump.cs,
BuildingDetails,Class,dump.cs,Building,,,HIGH,dump.cs,
BuildingData,Class,dump.cs,Building,,,HIGH,dump.cs,
ItemDetails,Class,dump.cs,Item,,,HIGH,dump.cs,
ItemData,Class,dump.cs,Item,,,HIGH,dump.cs,
JobDetails,Class,dump.cs,Job,,,HIGH,dump.cs,
JobData,Class,dump.cs,Job,,,HIGH,dump.cs,
ResourceData,Class,dump.cs,Resource,,,HIGH,dump.cs,
WorldMapData,Class,dump.cs,Map,,,HIGH,dump.cs,
